name,name_en,industry,size_category,revenue_range,employee_count_range,listed,region,notes
삼성전자,Samsung Electronics,반도체/전자,대기업,300조+,100000+,KOSPI,경기 수원,
SK하이닉스,SK Hynix,반도체,대기업,50조~100조,30000~50000,KOSPI,경기 이천,
LG에너지솔루션,LG Energy Solution,2차전지,대기업,30조~50조,20000~30000,KOSPI,서울 영등포,
현대자동차,Hyundai Motor,자동차,대기업,100조+,70000~100000,KOSPI,서울 서초,
NAVER,NAVER,IT/플랫폼,대기업,5조~10조,5000~10000,KOSPI,경기 성남,
카카오,Kakao,IT/플랫폼,대기업,5조~10조,5000~10000,KOSPI,경기 성남,
포스코홀딩스,POSCO Holdings,철강,대기업,50조~100조,20000~30000,KOSPI,경북 포항,
KB금융지주,KB Financial Group,금융,대기업,50조~100조,20000~30000,KOSPI,서울 영등포,
신한금융지주,Shinhan Financial Group,금융,대기업,30조~50조,20000~30000,KOSPI,서울 중구,
셀트리온,Celltrion,바이오/제약,대기업,3조~5조,5000~10000,KOSPI,인천 연수,
쿠팡,Coupang,이커머스,대기업,30조~50조,50000~70000,해외상장,서울 송파,
크래프톤,Krafton,게임,대기업,1조~3조,1000~3000,KOSPI,서울 강남,
두산에너빌리티,Doosan Enerbility,에너지/플랜트,대기업,10조~30조,10000~20000,KOSPI,경남 창원,
한화에어로스페이스,Hanwha Aerospace,방산/항공,대기업,5조~10조,10000~20000,KOSPI,경남 창원,
에코프로비엠,Ecopro BM,2차전지소재,중견,3조~5조,1000~3000,KOSDAQ,경북 포항,
리노공업,LEENO Industrial,반도체장비,중견,5000억~1조,500~1000,KOSDAQ,부산,
토스뱅크,Toss Bank,금융/핀테크,스타트업,,,비상장,서울 강남,
야놀자,Yanolja,여행/IT,스타트업,,,비상장,서울 강남,
